1327002,432066
1327003,432067
1327005,432069
1327013,432077
1327017,432081
1327019,432083
1327027,432091
1327029,432093
1327036,432100
1327037,432101
1327047,432111
1153458,176986
1225948,299166
1225977,299195
1226015,299240
1226038,299269
1226087,299323
1226091,299327
1327001,432065
1327004,432068
1327007,432071
1327009,432073
1327011,432075
1327014,432078
1327015,432079
1327016,432080
1327039,432103
1327049,432113
1327075,432139
1327076,432140
1142109,165019
1153463,176994
1154992,178934
1154997,178946
1225975,299193
1225983,299204
1226002,299226
1226004,299229
1226021,299247
1226036,299266
1226043,299275
1226059,299293
1226066,299302
1226090,299326
1226095,299332
1326594,431658
1326614,431678
1326615,431679
1326628,431692
1153857,177433
1154995,178940
1154999,178952
1155241,179304
1155254,179313
1225976,299194
1225980,299198
1225998,299221
1226030,299257
1226060,299294
1326941,432005
1327010,432074
1225978,299196
1225985,299207
1225987,299210
1225991,299214
1225997,299220
1226018,299244
1226056,299289
1367160,472224
1155287,179335
1225996,299219
1267792,358602
1327060,432124
1367252,472316
1367394,472458
1210866,283604
1326572,431636
1252800,339289
1324411,429369
1326710,431774
1326936,432000
1327137,432201
1366853,471917
1367124,472188
1367263,472327
1367316,472380
1367505,472569
1428629,533693
1127380,607915
1145571,169534
1175111,211602
1225025,297754
1225936,299144
1227552,302398
1252777,339266
1280200,374116
1280203,374119
1284232,379368
1321863,426778
1321881,426797
1326554,431618
1326566,431630
1326569,431633
1326576,431640
1326615,431679
1326646,431710
1326824,431888
1327081,432145
1327148,432212
1363837,468901
1363838,468902
1367136,472200
1367524,472588
1367565,472629
1372857,477921
1413667,518731
1153855,177430
1155007,178971
1155278,179330
1157197,181771
1173545,207492
1175392,212100
1177718,217949
1193257,250158
1193967,251032
1194121,251248
1205574,273664
1218732,289077
1225058,297787
1225170,298023
1225806,298922
1225921,299116
1225925,299120
1225947,299165
1225959,299177
1226113,299351
1226130,299371
1238624,320935
1238629,320940
1238630,320941
1238635,320946
1244728,329169
1252803,339292
1252807,339296
1252821,339310
1255956,343026
1321304,426202
1321868,426784
1321887,426803
1326578,431642
1326592,431656
1326611,431675
1326620,431684
1326648,431712
1326653,431717
1326664,431728
1326704,431768
1326799,431863
1326829,431893
1326859,431923
1326923,431987
1326995,432059
1327120,432184
1327121,432185
1327124,432188
1327181,432245
1327222,432286
1346702,451766
1353439,458503
1367058,472122
1367062,472126
1367073,472137
1367097,472161
1367111,472175
1367130,472194
1367131,472195
1367141,472205
1367149,472213
1367319,472383
1367336,472400
1367388,472452
1367420,472484
1367424,472488
1367497,472561
1367498,472562
1367526,472590
1371301,476365
1385225,490289
1413668,518732
1413669,518733
1072833,615679
1142577,165599
1145564,169517
1145570,169531
1145571,169534
1152216,175754
1154994,178939
1154999,178952
1157612,182217
1164632,193547
1164632,193547
1164633,193548
1164633,193548
1164634,193549
1175592,212610
1175686,212903
1186772,238758
1193253,250156
1194121,251248
1208845,280686
1224842,297284
1224843,297285
1224844,297286
1225212,298122
1225805,298921
1225807,298923
1225808,298924
1225926,299121
1225931,299126
1225946,299164
1226052,299285
1226056,299289
1226713,300250
1232242,311107
1238626,320937
1238634,320945
1238642,320953
1244726,329167
1252796,339285
1252829,339318
1276238,368647
1276242,368651
1277491,370481
1280201,374117
1280204,374120
1287872,383682
1317828,420818
1317919,420924
1326549,431613
1326558,431622
1326560,431624
1326567,431631
1326568,431632
1326598,431662
1326602,431666
1326650,431714
1326692,431756
1326716,431780
1326745,431809
1326820,431884
1326937,432001
1326938,432002
1326969,432033
1327007,432071
1327195,432259
1330890,435954
1346699,451763
1363835,468899
1367210,472274
1367256,472320
1367276,472340
1367290,472354
1367308,472372
1367352,472416
1367471,472535
1367485,472549
1367551,472615
1381064,486128
1385224,490288
1403026,508090
1428624,533688
1428626,533690
1140610,163589
1151759,174873
1155270,179324
1157197,181771
1164803,193817
1174261,209447
1175042,211052
1175593,212611
1195474,254554
1201779,268262
1218721,289066
1218728,289073
1218734,289079
1220016,290716
1224845,297287
1225038,297767
1225063,297798
1225431,298357
1225536,298631
1225937,299148
1225945,299163
1225985,299207
1225992,299215
1226042,299274
1226076,299312
1226082,299318
1226108,299345
1226116,299354
1226126,299366
1226725,300562
1230567,308614
1233117,312175
1238625,320936
1238628,320939
1238633,320944
1238643,320954
1244716,329157
1252794,339283
1255958,343028
1266548,357225
1280202,374118
1280205,374121
1311692,412922
1317920,420925
1321891,426807
1324857,429838
1326579,431643
1326599,431663
1326667,431731
1326675,431739
1326689,431753
1326746,431810
1326760,431824
1326809,431873
1326964,432028
1327021,432085
1327042,432106
1327172,432236
1327207,432271
1366852,471916
1367072,472136
1367079,472143
1367267,472331
1367275,472339
1367500,472564
1381063,486127
1413670,518734
1428627,533691
1438856,543920
1157614,182220
1159051,183686
1164635,193550
1164803,193817
1174472,209858
1175591,212609
1188667,244046
1193253,250156
1194478,251784
1218725,289070
1225541,298644
1226012,299237
1226134,299375
1258098,345627
1258100,345629
1317924,420929
1326916,431980
1327023,432087
1327083,432147
1367495,472559
1523749,612313
1586251,620881
1151219,174246
1154996,178945
1186772,238758
1193248,250153
1327126,432190
1155002,178961
1157612,182217
1193249,250154
1195473,254553
1157304,181886
1157613,182219
1195474,254554
1225542,298645
1327173,432237
1367055,472119
1155278,179330
1193252,250155
1201780,268263
1238641,320952
1175111,211602
1188667,244046
1225043,297772
1225211,298121
1326641,431705
1145568,169523
1142565,165586
1150343,172938
1155245,179307
1155270,179324
1177718,217949
1145573,169542
1153860,177439
1155004,178964
1175592,212610
1193967,251032
1153458,176986
1155001,178957
1175392,212100
1193965,251030
1150350,172944
1153145,176610
1154998,178947
1155000,178954
1155005,178966
1155254,179313
1174472,209858
1193256,250157
1202792,269511
1216933,287516
1150354,172947
1151215,174238
1152213,175748
1153135,176602
1153857,177433
1154997,178946
1154999,178952
1155258,179315
1155269,179323
1193257,250158
1208857,280731
1018395,606557
1043777,615673
1053628,615674
1053671,615675
1053683,606611
1058702,612274
1072803,615678
1127380,607915
1140610,163589
1142109,165019
1144001,167386
1145571,169534
1152217,175755
1153144,176609
1155004,178964
1155007,178971
1155249,179310
1155253,179312
1155266,179321
1173545,207492
1175215,211732
1225936,299144
1226009,299234
1230567,308614
1408300,513364
1422878,527942
1422882,527946
1455131,560159
1540913,620879
1586250,620880
1599657,620882
1146541,170478
1150362,172953
1153459,176987
1153463,176994
1155248,179309
1193964,251029
1194478,251784
1205574,273664
1205898,274300
1208845,280686
1148470,171683
1152212,175746
1153861,177441
1154994,178939
1154995,178940
1155241,179304
1157377,181950
1175042,211052
1155006,178969
1153460,176988
1154991,178931
1151220,174249
1153862,177442
1145577,169556
1182966,229611
1151224,174251
1153858,177437
1155279,179331
1157376,181949
1174261,209447
1175687,212904
1176743,216036
1194479,251785
1202790,269509
1202791,269510
1152214,175751
1152215,175753
1194480,251786
1467283,572312
1467284,572313
1467304,572333
1467306,572335
1467307,572336
1467308,572337
1467309,572338
1467310,572339
1467314,572343
1467319,572348
1467323,572352
1491997,17079
1467282,572311
1467285,572314
1467286,572315
1467287,572316
1467290,572319
1467292,572321
1467302,572331
1467303,572332
1467305,572334
1467313,572342
1467315,572344
1467317,572346
1467320,572349
1467321,572350
1467322,572351
1467328,572357
1467329,572358
1584807,21719
1056676,11554
1467288,572317
1467289,572318
1467291,572320
1467293,572322
1467294,572323
1467295,572324
1467296,572325
1467297,572326
1467298,572327
1467300,572329
1467311,572340
1467316,572345
1467318,572347
1467325,572354
1467330,572359
1467351,572380
1043095,615672
1056623,615677
1467299,572328
1467301,572330
1467327,572356
1467334,572363
1467347,572376
1467353,572382
1467354,572383
1467374,572403
1467377,572406
1481285,16210
1584654,21730
1056610,615676
1056670,11553
1056681,11555
1326827,431891
1467333,572362
1467335,572364
1467341,572370
1467342,572371
1467348,572377
1467349,572378
1467359,572388
1467370,572399
1467373,572402
1467376,572405
1043086,615670
1056628,11546
1467337,572366
1467338,572367
1467360,572389
1467362,572391
1467367,572396
1467369,572398
1043091,615671
1056635,11547
1467339,572368
1467340,572369
